,Species,Brain,Days,Region,Period,time,PAM Cluster
HSB136.STC,Human,HSB136,8667,STC,13,13,3
HSB136.VFC,Human,HSB136,8667,VFC,13,13,3
HSB126.A1C,Human,HSB126,11224,A1C,13,13,3
HSB126.AMY,Human,HSB126,11224,AMY,13,13,3
HSB126.CBC,Human,HSB126,11224,CBC,13,13,3
HSB126.DFC,Human,HSB126,11224,DFC,13,13,3
HSB126.HIP,Human,HSB126,11224,HIP,13,13,3
HSB126.IPC,Human,HSB126,11224,IPC,13,13,3
HSB126.ITC,Human,HSB126,11224,ITC,13,13,3
HSB126.M1C,Human,HSB126,11224,M1C,13,13,3
HSB126.MD,Human,HSB126,11224,MD,13,13,3
HSB126.MFC,Human,HSB126,11224,MFC,13,13,3
HSB126.OFC,Human,HSB126,11224,OFC,13,13,3
HSB126.S1C,Human,HSB126,11224,S1C,13,13,3
HSB126.STC,Human,HSB126,11224,STC,13,13,3
HSB126.V1C,Human,HSB126,11224,V1C,13,13,3
HSB126.VFC,Human,HSB126,11224,VFC,13,13,3
HSB145.A1C,Human,HSB145,13415,A1C,13,13,3
HSB145.AMY,Human,HSB145,13415,AMY,13,13,3
HSB145.CBC,Human,HSB145,13415,CBC,13,13,3
HSB145.DFC,Human,HSB145,13415,DFC,13,13,3
HSB145.HIP,Human,HSB145,13415,HIP,13,13,3
HSB145.IPC,Human,HSB145,13415,IPC,13,13,3
HSB145.ITC,Human,HSB145,13415,ITC,13,13,3
HSB145.M1C,Human,HSB145,13415,M1C,13,13,3
HSB145.MD,Human,HSB145,13415,MD,13,13,3
HSB145.MFC,Human,HSB145,13415,MFC,13,13,3
HSB145.OFC,Human,HSB145,13415,OFC,13,13,3
HSB145.S1C,Human,HSB145,13415,S1C,13,13,3
HSB145.STC,Human,HSB145,13415,STC,13,13,3
HSB145.STR,Human,HSB145,13415,STR,13,13,3
HSB145.V1C,Human,HSB145,13415,V1C,13,13,3
HSB145.VFC,Human,HSB145,13415,VFC,13,13,3
HSB123.A1C,Human,HSB123,13780,A1C,13,13,3
HSB123.AMY,Human,HSB123,13780,AMY,13,13,3
HSB123.CBC,Human,HSB123,13780,CBC,13,13,3
HSB123.DFC,Human,HSB123,13780,DFC,13,13,3
HSB123.HIP,Human,HSB123,13780,HIP,13,13,3
HSB123.IPC,Human,HSB123,13780,IPC,13,13,3
HSB123.ITC,Human,HSB123,13780,ITC,13,13,3
HSB123.M1C,Human,HSB123,13780,M1C,13,13,3
HSB123.MD,Human,HSB123,13780,MD,13,13,3
