,time,PAM Cluster
HSB123.MD,13,3
HSB123.MFC,13,3
HSB123.OFC,13,3
HSB123.S1C,13,3
HSB123.STC,13,3
HSB123.STR,13,3
HSB123.V1C,13,3
HSB123.VFC,13,3
HSB135.A1C,13,3
HSB135.CBC,13,3
HSB135.DFC,13,3
HSB135.IPC,13,3
HSB135.ITC,13,3
HSB135.M1C,13,3
HSB135.OFC,13,3
HSB135.S1C,13,3
HSB135.STC,13,3
HSB135.STR,13,3
HSB135.V1C,13,3
HSB135.VFC,13,3
